State,state_code,Month,Rain,Value,Car,Economic,Airline,Water ,NobodyNeedsYou,Air
Arkansas,AR,July,0.59635,7,1209,119377.4,30,10,80,36
Arkansas,AR,August,0.20049,8,99,111033,103,8,80,36
Arkansas,AR,September,0.98447,9,27,121860.2,88,20,80,36
Arkansas,AR,October,0.87089,10,324,123015.2,42,28,80,36
Arkansas,AR,November,0.61044,11,202,123676.9,7,29,80,36
Arkansas,AR,December,0.03797,12,77,124837,54,23,80,36
California,CA,January,0.72926,1,221,2682675.6,115,16,104,46.8
California,CA,February,0.99429,2,27,2720749.7,61,10,104,46.8
California,CA,March,0.61504,3,25,2740837.8,38,23,104,46.8
California,CA,April,0.00224,4,194,2772640.2,56,35,104,46.8
California,CA,May,0.135,5,233,2726966.1,54,41,105,47.25
California,CA,June,0.84281,6,674,2497144.4,33,42,105,47.25
California,CA,July,0.40255,7,187,2698461.3,75,37,105,47.25
California,CA,August,0.22432,8,54,2746311.9,265,27,105,47.25
California,CA,September,0.98044,9,33,2802569.5,66,17,86,38.7
California,CA,October,0.27517,10,4,2858504.7,117,8,86,38.7
California,CA,November,0.116,11,691,2894880.5,58,4,86,38.7
California,CA,December,0.76924,12,483,2942968.5,41,3,86,38.7
Colorado,CO,January,0.95936,1,17,350431,166,5,71,31.95
Colorado,CO,February,0.9437,2,71,355838.1,11,9,71,31.95
Colorado,CO,March,0.13901,3,297,363469.4,44,11,71,31.95
Colorado,CO,April,0.1431,4,236,364015.4,4,13,71,31.95
Colorado,CO,May,0.645,5,85,364343.9,55,11,101,45.45
Colorado,CO,June,0.81625,6,139,333946.6,49,4,101,45.45
Colorado,CO,July,0.83992,7,218,357012.4,6,13,101,45.45
Colorado,CO,August,0.10502,8,267,358077.8,134,26,101,45.45
Colorado,CO,September,0.82524,9,61,366673.8,36,35,101,45.45
Colorado,CO,October,0.24878,10,102,371776.5,15,40,101,45.45
Colorado,CO,November,0.85984,11,73,374332.1,10,39,101,45.45
Colorado,CO,December,0.83702,12,320,382270.9,6,30,101,45.45
Connecticut,CT,January,0.52,1,115,251484.3,39,21,86,38.7
Connecticut,CT,February,0.01372,2,231,251650.1,19,9,86,38.7
Connecticut,CT,March,0.69744,3,283,251556.4,41,8,86,38.7
Connecticut,CT,April,0.66773,4,77,251582.1,95,20,86,38.7
Connecticut,CT,May,0.87901,5,79,243008.4,128,30,63,28.35
Connecticut,CT,June,0.15159,6,68,220597.9,21,39,63,28.35
Connecticut,CT,July,0.68665,7,20,237183.6,36,44,63,28.35
Connecticut,CT,August,0.87361,8,95,240149.7,54,43,63,28.35
Connecticut,CT,September,0.96154,9,137,240879.9,65,36,58,26.1
Connecticut,CT,October,0.719,10,168,246676.8,17,25,58,26.1
Connecticut,CT,November,0.887,11,387,248028.1,9,12,58,26.1
Connecticut,CT,December,0.08514,12,40,250638.6,21,1,58,26.1
Delaware,DE,January,0.09471,1,326,63295.1,20,4,62,27.9
Delaware,DE,February,0.78845,2,254,63873.7,0,8,62,27.9
Delaware,DE,March,0.2549,3,128,64475.1,6,9,62,27.9
Delaware,DE,April,0.00432,4,236,64930.1,1,6,62,27.9
Delaware,DE,May,0.85423,5,5,63390.8,25,4,64,28.8
Delaware,DE,June,0.05,6,281,59399.1,25,2,64,28.8
Delaware,DE,July,0.76271,7,58,63312.7,192,1,64,28.8
Delaware,DE,August,0.64889,8,343,63024.4,6,3,64,28.8
Delaware,DE,September,0.26127,9,1232,63357.3,14,9,76,34.2
Delaware,DE,October,0.57184,10,76,64176.8,82,19,76,34.2
Delaware,DE,November,0.88169,11,10,64460.9,2,28,76,34.2
Delaware,DE,December,0.59163,12,253,65623.9,7,34,76,34.2
District of Columbia,DC,January,0.77571,1,131,123219.3,10,39,56,25.2
District of Columbia,DC,February,0.70473,2,100,124251.9,14,37,56,25.2
District of Columbia,DC,March,0.01568,3,178,125113.1,45,28,56,25.2
District of Columbia,DC,April,0.19517,4,61,125804.6,17,17,56,25.2
District of Columbia,DC,May,0.52664,5,2,125559.2,116,4,40,18
District of Columbia,DC,June,0.71198,6,15,118134.2,35,7,40,18
District of Columbia,DC,July,0.89485,7,18,122164.7,193,15,40,18
District of Columbia,DC,August,0.84569,8,25,124082.9,20,19,40,18
District of Columbia,DC,September,0.50548,9,17,124274.3,51,22,48,21.6
District of Columbia,DC,October,0.9784,10,3,126538.3,80,22,48,21.6
District of Columbia,DC,November,0.67527,11,0,128234.6,158,17,48,21.6
District of Columbia,DC,December,0.46232,12,0,128884.7,92,12,48,21.6
Florida,FL,January,0.78529,1,30,957610.1,51,9,51,22.95
Florida,FL,February,0.00816,2,29,960872.8,45,8,51,22.95
Florida,FL,March,0.0788,3,1,968246.5,41,11,51,22.95
Florida,FL,April,0.66026,4,6,975960.5,29,17,51,22.95
Florida,FL,May,0.65651,5,20,969585.9,69,25,64,28.8
Florida,FL,June,0.86539,6,19,891076.7,37,32,64,28.8
Florida,FL,July,0.72586,7,13,966543.8,35,36,64,28.8
Florida,FL,August,0.0692,8,12,958451.2,165,35,64,28.8
Florida,FL,September,0.624,9,17,991701,11,28,54,24.3
Florida,FL,October,0.74613,10,10,1023722.9,28,16,54,24.3
Florida,FL,November,0.99811,11,3,1038486.4,74,2,54,24.3
Florida,FL,December,0.95717,12,5,1064392.2,76,2,54,24.3
Georgia,GA,January,0.70838,1,2,549780.5,43,13,50,48.1
Georgia,GA,February,0.98647,2,7,556686.4,21,18,50,48.6
Georgia,GA,March,0.8514,3,8,560984.6,23,18,50,48.3
Georgia,GA,April,0.77248,4,8,562006.2,62,11,50,48.7
Georgia,GA,May,0.75281,5,17,551028,5,2,52,47.9
Georgia,GA,June,0.156,6,6,506655.7,45,3,52,47.8
Georgia,GA,July,0.53888,7,8,544494.2,18,16,52,46.9
Georgia,GA,August,0.51296,8,7,548285.2,18,27,52,47.8
Georgia,GA,September,0.18999,9,1,561223.1,13,35,62,49.4
Georgia,GA,October,0.94825,10,6,575976.2,55,37,62,47.7
Georgia,GA,November,0.73939,11,10,577786.3,10,32,62,48.4
Georgia,GA,December,0.14729,12,16,586183,41,20,62,48.2
Hawaii,HI,January,0.91264,1,18,78923.8,25,5,69,21.2
Hawaii,HI,February,0.45168,2,1,78928.8,19,4,69,21.1
Hawaii,HI,March,0.92729,3,15,79498.5,12,14,69,20.7
Hawaii,HI,April,0.99041,4,8,79502.4,16,19,69,21.6
Hawaii,HI,May,0.35469,5,6,76310.1,9,15,91,21.9
Hawaii,HI,June,0.04394,6,19,65797.9,18,4,91,21.8
Hawaii,HI,July,0.81322,7,1,68278.7,23,9,91,20.5
Hawaii,HI,August,0.65272,8,16,70050.9,27,23,91,21.3
Hawaii,HI,September,0.75613,9,2,71310.6,31,33,65,21.1
Hawaii,HI,October,0.56116,10,28,74502,9,39,65,21
Hawaii,HI,November,0.80096,11,80,76530.9,23,37,65,20.9
Hawaii,HI,December,0.88435,12,3,75845.4,23,27,65,21.4
Idaho,ID,January,0.60576,1,1,73083.7,42,9,62,27.9
Idaho,ID,February,0.89744,2,24,73827.2,14,12,62,27.9
Idaho,ID,March,0.17011,3,1,74667.5,13,18,62,27.9
Idaho,ID,April,0.06276,4,8,75072,33,16,62,27.9
Idaho,ID,May,0.0756,5,4,75726.1,25,10,72,32.4
Idaho,ID,June,0.82821,6,7,70182.8,27,1,72,32.4
Idaho,ID,July,0.63264,7,4,76930.1,14,13,72,32.4
Idaho,ID,August,0.92489,8,161,77743,34,25,72,32.4
Idaho,ID,September,0.18,9,80,79045.1,70,33,88,39.6
Idaho,ID,October,0.10862,10,539,78896.8,13,35,88,39.6
Idaho,ID,November,0.95496,11,140,79557.9,59,28,88,39.6
Idaho,ID,December,0.48904,12,58,82875.4,48,15,88,39.6
Illinois,IL,January,0.93442,1,15,775007.5,39,11,52,23.4
Illinois,IL,February,0.54456,2,7,774750.5,88,21,52,23.4
Illinois,IL,March,0.9505,3,600,779650.4,7,26,52,23.4
Illinois,IL,April,0.62836,4,192,774584.1,74,22,52,23.4
Illinois,IL,May,0.23064,5,18,757923.8,24,14,45,20.25
Illinois,IL,June,0.425,6,27,691519.8,80,4,45,20.25
Illinois,IL,July,0.64096,7,153,741584.2,27,9,45,20.25
Illinois,IL,August,0.93909,8,151,746512.4,7,21,45,20.25
Illinois,IL,September,0.87632,9,64,767548.8,26,32,51,22.95
Illinois,IL,October,0.82226,10,65,777898.6,51,38,51,22.95
Illinois,IL,November,0.79474,11,92,780279.4,1,37,51,22.95
Illinois,IL,December,0.91014,12,78,794516.3,22,28,51,22.95
Indiana,IN,January,0.30019,1,29,335743.9,22,11,45,47.4
Indiana,IN,February,0.11229,2,85,337162.6,22,11,45,47.2
Indiana,IN,March,0.90763,3,52,339127,63,29,45,47.6
Indiana,IN,April,0.01776,4,170,339575.3,15,42,45,47.1
Indiana,IN,May,0.91512,5,66,336332.9,19,47,41,46.7
Indiana,IN,June,0.58198,6,62,302558.9,3,41,41,47.8
Indiana,IN,July,0.33142,7,123,333913,16,30,41,46.5
Indiana,IN,August,0.63684,8,29,336306.7,15,19,41,47.5
Indiana,IN,September,0.86815,9,34,341620.8,3,7,48,48.2
Indiana,IN,October,0.77892,10,58,346166.2,61,0,48,47.7
Indiana,IN,November,0.02568,11,25,345596.3,58,2,48,47.1
Indiana,IN,December,0.098,12,78,351580.2,9,14,48,47.4
Iowa,IA,January,0.683,1,46,170447.3,15,30,67,30.15
Iowa,IA,February,0.95274,2,200,171741.9,0,44,67,30.15
Iowa,IA,March,0.96797,3,192,175301.6,25,54,67,30.15
Iowa,IA,April,0.13107,4,17,177397.1,80,55,67,30.15
Iowa,IA,May,0.98246,5,211,173979.9,19,49,72,32.4
Iowa,IA,June,0.84855,6,63,159659.9,29,35,72,32.4
Iowa,IA,July,0.85704,7,68,172700.1,9,15,72,32.4
Iowa,IA,August,0.701,8,219,177489.6,40,11,72,32.4
Iowa,IA,September,0.237,9,13,184430.3,11,28,48,21.6
Iowa,IA,October,0.61956,10,137,182618.1,47,41,48,21.6
Iowa,IA,November,0.16059,11,27,175641.3,36,48,48,21.6
Iowa,IA,December,0.93206,12,151,176322.1,36,47,48,21.6
Kansas,KS,January,0.76598,1,483,158640.1,25,37,56,25.2
Kansas,KS,February,0.02872,2,44,160104.8,20,23,56,25.2
Kansas,KS,March,0.53292,3,10,160401.7,10,11,56,25.2
Kansas,KS,April,0.035,4,101,160158.1,24,4,56,25.2
Kansas,KS,May,0.93676,5,91,163507.5,101,4,71,31.95
Kansas,KS,June,0.02,6,38,149456.2,28,13,71,31.95
Kansas,KS,July,0.01,7,116,160314,25,27,71,31.95
Kansas,KS,August,0.7916,8,19,160115.5,11,42,71,31.95
Kansas,KS,September,0.98845,9,13,159725.7,45,56,61,27.45
Kansas,KS,October,0.94598,10,222,162553.7,112,63,61,27.45
Kansas,KS,November,0.92247,11,81,162695.6,21,60,61,27.45
Kansas,KS,December,0.81018,12,986,164188.6,47,48,61,27.45
Kentucky,KY,January,0.90257,1,87,190556,46,28,37,23.1
Kentucky,KY,February,0.268,2,56,192370.7,9,6,37,23.4
Kentucky,KY,March,0.04095,3,25,193633.8,3,3,37,23.2
Kentucky,KY,April,0.10147,4,10,195327.2,21,20,37,23.6
Kentucky,KY,May,0.73263,5,696,193361,11,30,48,30.24
Kentucky,KY,June,0.28287,6,279,174321.8,8,36,48,30.26
Kentucky,KY,July,0.37876,7,21,192693.9,6,36,48,30.22
Kentucky,KY,August,0.03184,8,14,193208.6,15,29,48,31.04
Kentucky,KY,September,0.79786,9,176,195481.6,116,20,48,29.23
Kentucky,KY,October,0.577,10,93,197455.1,34,12,48,30.52
Kentucky,KY,November,0.86262,11,27,197955.6,31,6,48,30.61
Kentucky,KY,December,0.69027,12,46,200380.8,78,7,48,30.37
Louisiana,LA,January,0.21808,1,91,237800.9,63,14,46,20.7
Louisiana,LA,February,0.206,2,144,236743.1,19,27,46,20.7
Louisiana,LA,March,0.56656,3,9,237569.8,3,40,46,20.7
Louisiana,LA,April,0.8341,4,130,236064.5,66,52,46,20.7
Louisiana,LA,May,0.74277,5,52,228455.8,11,59,50,22.5
Louisiana,LA,June,0.90001,6,171,207356.9,10,58,50,22.5
Louisiana,LA,July,0.76022,7,45,220884.5,61,49,50,22.5
Louisiana,LA,August,0.81926,8,106,216989.5,5,34,50,22.5
Louisiana,LA,September,0.08829,9,128,217163.4,34,15,62,27.9
Louisiana,LA,October,0.18494,10,17,222838.7,71,23,62,27.9
Louisiana,LA,November,0.628,11,18,222078.6,13,34,62,27.9
Louisiana,LA,December,0.32721,12,79,222530.2,23,42,62,27.9
Maine,ME,January,0.80405,1,16,58882.1,56,43,66,29.7
Maine,ME,February,0.58685,2,173,59025.4,27,38,66,29.7
Maine,ME,March,0.99236,3,79,59791.4,7,31,66,29.7
Maine,ME,April,0.9637,4,231,60514.5,9,24,66,29.7
Maine,ME,May,0.97635,5,228,60361.4,9,20,44,19.8
Maine,ME,June,0.96584,6,8,56312.8,10,20,44,19.8
Maine,ME,July,0.99621,7,159,60724.8,102,27,44,19.8
Maine,ME,August,0.47164,8,85,62126.8,22,35,44,19.8
Maine,ME,September,0.664,9,71,62452.2,175,45,58,26.1
Maine,ME,October,0.6791,10,143,63374.6,37,53,58,26.1
Maine,ME,November,0.9414,11,17,63875.6,15,54,58,26.1
Maine,ME,December,0.06624,12,187,64675.9,4,50,58,26.1
Maryland,MD,January,0.1408,1,14,364881,17,38,52,23.4
Maryland,MD,February,0.98528,2,172,368231.4,6,24,52,23.4
Maryland,MD,March,0.235,3,687,369344.7,37,7,52,23.4
Maryland,MD,April,0.95069,4,33,369768.6,2,13,52,23.4
Maryland,MD,May,0.02081,5,8,360145.3,39,31,64,28.8
Maryland,MD,June,0.10716,6,111,334847,18,48,64,28.8
Maryland,MD,July,0.17708,7,97,356775.6,27,42,64,28.8
Maryland,MD,August,0.9058,8,18,357768,4,30,64,28.8
Maryland,MD,September,0.94935,9,50,368282.1,13,25,58,26.1
Maryland,MD,October,0.98058,10,6,365495.6,25,23,58,26.1
Maryland,MD,November,0.91919,11,2,368244.1,57,27,58,26.1
Maryland,MD,December,0.94375,12,33,372262.5,36,35,58,26.1
Massachusetts,MA,January,0.96724,1,6,510381.5,31,45,46,20.7
Massachusetts,MA,February,0.9466,2,129,512748.8,71,51,46,20.7
Massachusetts,MA,March,0.05984,3,15,515787.7,34,51,46,20.7
Massachusetts,MA,April,0.96098,4,5,517765.4,12,47,46,20.7
Massachusetts,MA,May,0.8122,5,3,516216.1,11,41,31,13.95
Massachusetts,MA,June,0.01728,6,1,469194.2,89,22,31,13.95
Massachusetts,MA,July,0.147,7,67,500082.5,60,2,31,13.95
Massachusetts,MA,August,0.022,8,32,514511,39,11,31,13.95
Massachusetts,MA,September,0.01272,9,4,520143.7,55,26,41,18.45
Massachusetts,MA,October,0.03978,10,3,530568.1,20,38,41,18.45
Massachusetts,MA,November,0.84736,11,30,537050.8,61,48,41,18.45
Massachusetts,MA,December,0.05084,12,20,544645.6,29,53,41,18.45
Michigan,MI,January,0.30684,1,10,464485.1,13,54,39,17.55
Michigan,MI,February,0.00408,2,4,465850.2,19,47,39,17.55
Michigan,MI,March,0.85047,3,5,469360.9,48,37,39,17.55
Michigan,MI,April,0.24268,4,34,468731.7,33,28,39,17.55
Michigan,MI,May,0.04385,5,2,461865.4,34,21,51,22.95
Michigan,MI,June,0.1296,6,14,406391.9,13,16,51,22.95
Michigan,MI,July,0.98294,7,10,461198.3,29,14,51,22.95
Michigan,MI,August,0.02442,8,38,464365.7,19,15,51,22.95
Michigan,MI,September,0.13225,9,10,469497.8,12,18,51,22.95
Michigan,MI,October,0.921,10,9,485125,27,22,51,22.95
Michigan,MI,November,0.96224,11,8,484788.4,15,26,51,22.95
Michigan,MI,December,0.09504,12,0,487700.9,14,25,51,22.95
Minnesota,MN,January,0.86494,1,1,337487.5,26,18,57,25.65
Minnesota,MN,February,0.90175,2,11,339308.7,61,8,57,25.65
Minnesota,MN,March,0.07821,3,2,342364.7,31,6,57,25.65
Minnesota,MN,April,0.00202,4,18,343067.7,25,17,57,25.65
Minnesota,MN,May,0.03065,5,8,337282.4,95,22,71,31.95
Minnesota,MN,June,0.98644,6,47,309700.2,45,27,71,31.95
Minnesota,MN,July,0.928,7,26,331040.1,15,30,71,31.95
Minnesota,MN,August,0.06789,8,1,335935.5,43,25,71,31.95
Minnesota,MN,September,0.08549,9,18,339113.7,27,18,68,30.6
Minnesota,MN,October,0.08736,10,12,348488.9,17,8,68,30.6
Minnesota,MN,November,0.78364,11,14,346693.2,8,9,68,30.6
Minnesota,MN,December,0.11564,12,20,350521.5,68,14,68,30.6
Mississippi,MS,January,0.74344,1,64,100004.5,52,17,65,29.25
Mississippi,MS,February,0.93929,2,1054,100214.1,81,16,65,29.25
Mississippi,MS,March,0.04661,3,638,101231.3,25,8,65,29.25
Mississippi,MS,April,0.84419,4,3847,102481.5,93,5,65,29.25
Mississippi,MS,May,0.00941,5,622,102637.9,98,17,65,29.25
Mississippi,MS,June,0.86219,6,295,102849.8,81,28,65,29.25
Mississippi,MS,July,0.98411,7,116,100612.3,73,32,65,29.25
Mississippi,MS,August,0.76564,8,36,101007.9,25,32,65,29.25
Mississippi,MS,September,0.181,9,3331,103755.6,28,28,62,27.9
Mississippi,MS,October,0.05376,10,1664,104810.9,93,19,62,27.9
Mississippi,MS,November,0.97459,11,85,104449.7,20,9,62,27.9
Mississippi,MS,December,0.04113,12,214,104397.6,15,10,62,27.9
Missouri,MO,January,0.97338,1,2,288322.9,19,23,61,27.45
Missouri,MO,February,0.07296,2,14,289665.3,11,36,61,27.45
Missouri,MO,March,0.88229,3,0,292273.4,48,46,61,27.45
Missouri,MO,April,0.93619,4,13,292216.5,10,51,61,27.45
Missouri,MO,May,0.00513,5,79,288830.3,23,49,55,24.75
Missouri,MO,June,0.099,6,8,266048.3,14,41,55,24.75
Missouri,MO,July,0.13785,7,1,286515.9,26,29,55,24.75
Missouri,MO,August,0.1566,8,7,289622,10,15,55,24.75
Missouri,MO,September,0.95971,9,11,291959.7,9,4,55,24.75
Missouri,MO,October,0.07644,10,2,296052.5,81,4,55,24.75
Missouri,MO,November,0.96475,11,12,296322.7,35,12,55,24.75
Missouri,MO,December,0.02938,12,1,298414.3,58,16,55,24.75
Montana,MT,January,0.89969,1,1194,46678,8,16,64,28.8
Montana,MT,February,0.00832,2,897,46539.6,92,12,64,28.8
Montana,MT,March,0.91169,3,337,47171.8,16,8,64,28.8
Montana,MT,April,0.808,4,426,47155.5,39,8,64,28.8
Montana,MT,May,0.966,5,780,46849,91,14,50,22.5
Montana,MT,June,0.07125,6,828,44159.2,17,22,50,22.5
Montana,MT,July,0.88455,7,164,47814.1,14,30,50,22.5
Montana,MT,August,0.01498,8,567,48179.4,8,38,50,22.5
Montana,MT,September,0.79416,9,343,48378.2,10,42,47,21.15
Montana,MT,October,0.2214,10,1084,48684.8,26,42,47,21.15
Montana,MT,November,0.99556,11,394,48869.4,4,36,47,21.15
Montana,MT,December,0.02688,12,752,49972.5,2,24,47,21.15
Nebraska,NE,January,0.87024,1,987,116811.1,2,10,56,25.2
Nebraska,NE,February,0.02321,2,213,117510.4,58,10,56,25.2
Nebraska,NE,March,0.204,3,233,119333.5,11,21,56,25.2
Nebraska,NE,April,0.75876,4,317,120759.9,7,27,56,25.2
Nebraska,NE,May,0.10509,5,104,119303.3,58,28,63,28.35
Nebraska,NE,June,0.18512,6,584,111597.6,16,22,63,28.35
Nebraska,NE,July,0.94519,7,398,119738.9,12,13,63,28.35
Nebraska,NE,August,0.75136,8,1046,121926.3,4,6,63,28.35
Nebraska,NE,September,0.87526,9,1538,120744.5,108,2,72,32.4
Nebraska,NE,October,0.0105,10,100,122711.6,44,3,72,32.4
Nebraska,NE,November,0.02813,11,1230,122550.7,2,8,72,32.4
Nebraska,NE,December,0.82726,12,652,122537.7,17,17,72,32.4
Nevada,NV,January,0.2358,1,508,154866.9,35,25,72,32.4
Nevada,NV,February,0.1598,2,1129,155909.4,12,32,72,32.4
Nevada,NV,March,0.06971,3,67,157766.3,23,36,72,32.4
Nevada,NV,April,0.00975,4,1064,159293.9,7,31,72,32.4
Nevada,NV,May,0.98875,5,141,157147.1,29,20,65,29.25
Nevada,NV,June,0.16628,6,1217,132382.1,10,6,65,29.25
Nevada,NV,July,0.45229,7,3874,147506.8,12,13,65,29.25
Nevada,NV,August,0.31385,8,276,148934.1,15,27,65,29.25
Nevada,NV,September,0.13763,9,62,152028.4,127,32,48,21.6
Nevada,NV,October,0.05829,10,850,158620.1,40,27,48,21.6
Nevada,NV,November,0.06461,11,560,162356.1,47,15,48,21.6
Nevada,NV,December,0.93775,12,267,165264.7,16,1,48,21.6
New Hampshire,NH,January,0.35436,1,614,77160.5,28,-15,42,18.9
New Hampshire,NH,February,0.88,2,127,76712.6,17,-13,42,18.9
New Hampshire,NH,March,0.85647,3,489,76756,29,-1,42,18.9
New Hampshire,NH,April,0.9136,4,33,76647.1,15,13,42,18.9
New Hampshire,NH,May,0.88679,5,578,77494.8,33,25,67,30.15
New Hampshire,NH,June,0.08925,6,366,70274.6,39,34,67,30.15
New Hampshire,NH,July,0.1534,7,2260,77056.3,12,39,67,30.15
New Hampshire,NH,August,0.82,8,355,78884.8,35,36,67,30.15
New Hampshire,NH,September,0.26092,9,169,79001.1,124,23,55,24.75
New Hampshire,NH,October,0.25132,10,54,83106.2,11,5,55,24.75
New Hampshire,NH,November,0.99668,11,18,83544.8,70,2,55,24.75
New Hampshire,NH,December,0.11136,12,1714,86292.9,17,20,55,24.75
New Jersey,NJ,January,0.04248,1,854,555174.5,31,30,50,22.5
New Jersey,NJ,February,0.2152,2,52,558323.5,62,34,50,22.5
New Jersey,NJ,March,0.99779,3,111,562684.5,100,28,50,22.5
New Jersey,NJ,April,0.92279,4,631,562412.5,34,15,50,22.5
New Jersey,NJ,May,0.11781,5,455,556862.9,68,2,47,21.15
New Jersey,NJ,June,0.97216,6,166,497580.7,10,9,47,21.15
New Jersey,NJ,July,0.01962,7,215,541270,11,26,47,21.15
New Jersey,NJ,August,0.10925,8,436,545581.5,35,41,47,21.15
New Jersey,NJ,September,0.9346,9,480,559072.4,24,52,61,27.45
New Jersey,NJ,October,0.17332,10,109,563421.3,44,55,61,27.45
New Jersey,NJ,November,0.68196,11,310,567906.5,51,48,61,27.45
New Jersey,NJ,December,0.18948,12,193,577172.6,135,6,61,27.45
New Mexico,NM,January,0.04941,1,558,92668,74,27,64,28.8
New Mexico,NM,February,0.1246,2,225,94177.9,33,44,64,28.8
New Mexico,NM,March,0.048,3,455,96095,13,53,64,28.8
New Mexico,NM,April,0.283,4,560,96648.8,75,49,64,28.8
New Mexico,NM,May,0.06141,5,149,96699.5,21,36,73,32.85
New Mexico,NM,June,0.29635,6,116,87891.1,78,20,73,32.85
New Mexico,NM,July,0.3321,7,181,92675.2,36,5,73,32.85
New Mexico,NM,August,0.77796,8,61,92719.3,69,13,73,32.85
New Mexico,NM,September,0.9782,9,341,92692.4,21,30,66,29.7
New Mexico,NM,October,0.43079,10,237,92652.9,10,45,66,29.7
New Mexico,NM,November,0.00305,11,588,93601.6,34,57,66,29.7
New Mexico,NM,December,0.2735,12,818,95553.3,24,59,66,29.7
New York,NY,January,0.82367,1,61,1485313.9,69,51,49,22.05
New York,NY,February,0.0345,2,655,1504078.5,39,35,49,22.05
New York,NY,March,0.1502,3,342,1506282.5,35,15,47,21.15
New York,NY,April,0.94229,4,292,1507658.7,31,11,47,21.15
New York,NY,May,0.08,5,623,1489185.1,49,33,67,30.15
New York,NY,June,0.72516,6,47,1347704.9,37,51,67,30.15
New York,NY,July,0.16972,7,592,1442509.1,42,63,67,30.15
New York,NY,August,0.91735,8,77,1450628.9,108,65,67,30.15
New York,NY,September,0.02565,9,622,1471477.6,58,59,77,34.65
New York,NY,October,0.228,10,2017,1504178.3,41,46,77,34.65
New York,NY,November,0.135,11,148,1525423.5,27,30,77,34.65
New York,NY,December,0.952,12,41,1558037.6,31,17,77,34.65
North Carolina,NC,January,0.89549,1,472,506751.7,45,11,69,31.05
North Carolina,NC,February,0.96848,2,310,510250.2,18,10,69,31.05
North Carolina,NC,March,0.83079,3,146,515076.9,20,10,69,31.05
North Carolina,NC,April,0.9876,4,341,519260.5,13,18,69,31.05
North Carolina,NC,May,0.03581,5,76,517199.1,38,34,42,18.9
North Carolina,NC,June,0.95716,6,445,474916.8,80,45,42,18.9
North Carolina,NC,July,0.8162,7,31,514459.9,27,46,42,18.9
North Carolina,NC,August,0.09116,8,476,520056.7,13,35,42,18.9
North Carolina,NC,September,0.98176,9,272,531416.3,30,16,56,25.2
North Carolina,NC,October,0.89335,10,1587,538422.9,164,15,56,25.2
North Carolina,NC,November,0.09701,11,267,542333.1,29,41,56,25.2
