State,state_code,Month,Rain,value,RainTmp,RainTmp2,Year
Colorado,CO,December,0.83702,12,0.88455,0.17501,2020
Connecticut,CT,January,0.52,1,0.92455,0.75876,2020
Connecticut,CT,February,0.01372,2,0.2165,0.08364,2020
Connecticut,CT,March,0.69744,3,0.98875,0.06789,2020
Connecticut,CT,April,0.66773,4,0.81584,0.21196,2020
Connecticut,CT,May,0.87901,5,0.88,0.9437,2020
Connecticut,CT,June,0.15159,6,0.96971,0.9974,2020
Connecticut,CT,July,0.68665,7,0.03712,0.3394,2020
Connecticut,CT,August,0.87361,8,0.00305,0.96848,2020
Connecticut,CT,September,0.96154,9,0.06956,0.55,2020
Connecticut,CT,October,0.719,10,0.10163,0.89119,2020
Connecticut,CT,November,0.887,11,0.48904,0.02688,2020
Connecticut,CT,December,0.08514,12,0.0692,0.79416,2020
Delaware,DE,January,0.09471,1,0.71551,0.91919,2020
Delaware,DE,February,0.78845,2,0.18,0.51296,2020
Delaware,DE,March,0.2549,3,0.98598,0.416,2020
Delaware,DE,April,0.00432,4,0.886,0.099,2020
Delaware,DE,May,0.85423,5,0.83406,0.06624,2020
Delaware,DE,June,0.05,6,0.68196,0.08925,2020
Delaware,DE,July,0.76271,7,0.97459,0.95971,2020
Delaware,DE,August,0.64889,8,0.921,0.17482,2020
Delaware,DE,September,0.26127,9,0.78211,0.94375,2020
Delaware,DE,October,0.57184,10,0.99236,0.69027,2020
Delaware,DE,November,0.88169,11,0.887,0.99811,2020
Delaware,DE,December,0.59163,12,0.91759,0.94179,2020
District of Columbia,DC,January,0.77571,1,0.87024,0.1653,2020
District of Columbia,DC,February,0.70473,2,0.1431,0.18948,2020
District of Columbia,DC,March,0.01568,3,0.06276,0.61044,2020
District of Columbia,DC,April,0.19517,4,0.43936,0.99621,2020
District of Columbia,DC,May,0.52664,5,0.02872,0.09147,2020
District of Columbia,DC,June,0.71198,6,0.92298,0.889,2020
District of Columbia,DC,July,0.89485,7,0.9175,0.988,2020
District of Columbia,DC,August,0.84569,8,0.03581,0.77571,2020
District of Columbia,DC,September,0.50548,9,0.96582,0.94935,2020
District of Columbia,DC,October,0.9784,10,0.808,0.147,2020
District of Columbia,DC,November,0.67527,11,0.93135,0.82518,2020
District of Columbia,DC,December,0.46232,12,0.987,0.89969,2020
Florida,FL,January,0.78529,1,0.87468,0.2549,2020
Florida,FL,February,0.00816,2,0.93676,0.77796,2020
Florida,FL,March,0.0788,3,0.47164,0.19408,2020
Florida,FL,April,0.66026,4,0.86815,0.99236,2020
Florida,FL,May,0.65651,5,0.94229,0.94893,2020
Florida,FL,June,0.86539,6,0.96224,0.82726,2020
Florida,FL,July,0.72586,7,0.88169,0.92729,2020
Florida,FL,August,0.0692,8,0.21808,0.90257,2020
Florida,FL,September,0.624,9,0.00618,0.14206,2020
Florida,FL,October,0.74613,10,0.70473,0.048,2020
Florida,FL,November,0.99811,11,0.75281,0.09471,2020
Florida,FL,December,0.95717,12,0.98044,0.56116,2020
Georgia,GA,January,0.70838,1,0.74613,0.15159,2020
Georgia,GA,February,0.98647,2,0.69027,0.08843,2020
Georgia,GA,March,0.8514,3,0.90975,0.69744,2020
Georgia,GA,April,0.77248,4,0.9095,0.02961,2020
Georgia,GA,May,0.75281,5,0.90175,0.82524,2020
Georgia,GA,June,0.156,6,0.22272,0.719,2020
Georgia,GA,July,0.53888,7,0.2152,0.6267,2020
Georgia,GA,August,0.51296,8,0.00513,0.64096,2020
Georgia,GA,September,0.18999,9,0.64889,0.83424,2020
Georgia,GA,October,0.94825,10,0.12232,0.987,2020
Georgia,GA,November,0.73939,11,0.05525,0.17011,2020
Georgia,GA,December,0.14729,12,0.40255,0.48904,2020
Hawaii,HI,January,0.91264,1,0.56656,0.2094,2020
Hawaii,HI,February,0.45168,2,0.76412,0.04941,2020
Hawaii,HI,March,0.92729,3,0.29118,0.66773,2020
Hawaii,HI,April,0.99041,4,0.811,0.09309,2020
Hawaii,HI,May,0.35469,5,0.298,0.008,2020
Hawaii,HI,June,0.04394,6,0.09116,0.75136,2020
Hawaii,HI,July,0.81322,7,0.20049,0.83406,2020
Hawaii,HI,August,0.65272,8,0.06883,0.52,2020
Hawaii,HI,September,0.75613,9,0.89744,0.01845,2020
Hawaii,HI,October,0.56116,10,0.65651,0.97939,2020
Hawaii,HI,November,0.80096,11,0.01962,0.00224,2020
Hawaii,HI,December,0.88435,12,0.84652,0.283,2020
Idaho,ID,January,0.60576,1,0.99041,0.9346,2020
Idaho,ID,February,0.89744,2,0.77892,0.95496,2020
Idaho,ID,March,0.17011,3,0.13848,0.03075,2020
Idaho,ID,April,0.06276,4,0.94598,0.97216,2020
Idaho,ID,May,0.0756,5,0.08736,0.11349,2020
Idaho,ID,June,0.82821,6,0.82,0.79474,2020
Idaho,ID,July,0.63264,7,0.135,0.03712,2020
Idaho,ID,August,0.92489,8,0.85047,0.97635,2020
Idaho,ID,September,0.18,9,0.019,0.87279,2020
Idaho,ID,October,0.10862,10,0.03321,0.91169,2020
Idaho,ID,November,0.95496,11,0.18999,0.26644,2020
Idaho,ID,December,0.48904,12,0.02519,0.91759,2020
Illinois,IL,January,0.93442,1,0.01568,0.76564,2020
Illinois,IL,February,0.54456,2,0.84419,0.02081,2020
Illinois,IL,March,0.9505,3,0.85704,0.99104,2020
Illinois,IL,April,0.62836,4,0.008,0.99561,2020
Illinois,IL,May,0.23064,5,0.97523,0.966,2020
Illinois,IL,June,0.425,6,0.84569,0.0105,2020
Illinois,IL,July,0.64096,7,0.92004,0.78845,2020
Illinois,IL,August,0.93909,8,0.45168,0.0825,2020
Illinois,IL,September,0.87632,9,0.86763,0.94229,2020
Illinois,IL,October,0.82226,10,0.736,0.03427,2020
Illinois,IL,November,0.79474,11,0.94032,0.022,2020
Illinois,IL,December,0.91014,12,0.82518,0.06727,2020
Indiana,IN,January,0.30019,1,0.09309,0.02737,2020
Indiana,IN,February,0.11229,2,0.82968,0.06117,2020
Indiana,IN,March,0.90763,3,0.58685,0.18,2020
Indiana,IN,April,0.01776,4,0.95274,0.92247,2020
Indiana,IN,May,0.91512,5,0.69864,0.84419,2020
Indiana,IN,June,0.58198,6,0.08364,0.11969,2020
Indiana,IN,July,0.33142,7,0.07644,0.05525,2020
Indiana,IN,August,0.63684,8,0.03547,0.15752,2020
Indiana,IN,September,0.86815,9,0.08,0.98845,2020
Indiana,IN,October,0.77892,10,0.05968,0.9876,2020
Indiana,IN,November,0.02568,11,0.96797,0.63264,2020
Indiana,IN,December,0.098,12,0.23588,0.736,2020
Iowa,IA,January,0.683,1,0.3143,0.24268,2020
Iowa,IA,February,0.95274,2,0.889,0.12342,2020
Iowa,IA,March,0.96797,3,0.87767,0.808,2020
Iowa,IA,April,0.13107,4,0.05675,0.87468,2020
Iowa,IA,May,0.98246,5,0.52664,0.09504,2020
Iowa,IA,June,0.84855,6,0.11781,0.06883,2020
Iowa,IA,July,0.85704,7,0.01385,0.0724,2020
Iowa,IA,August,0.701,8,0.84855,0.98075,2020
Iowa,IA,September,0.237,9,0.9876,0.04043,2020
Iowa,IA,October,0.61956,10,0.2549,0.30684,2020
Iowa,IA,November,0.16059,11,0.577,0.01372,2020
Iowa,IA,December,0.93206,12,0.69744,0.9095,2020
Kansas,KS,January,0.76598,1,0.01161,0.81018,2020
Kansas,KS,February,0.02872,2,0.01613,0.02848,2020
Kansas,KS,March,0.53292,3,0.58198,0.13167,2020
Kansas,KS,April,0.035,4,0.8036,0.99041,2020
Kansas,KS,May,0.93676,5,0.86262,0.08829,2020
Kansas,KS,June,0.02,6,0.147,0.86494,2020
Kansas,KS,July,0.01,7,0.8514,0.8535,2020
Kansas,KS,August,0.7916,8,0.76564,0.99377,2020
Kansas,KS,September,0.98845,9,0.16167,0.11564,2020
Kansas,KS,October,0.94598,10,0.85425,0.02565,2020
Kansas,KS,November,0.92247,11,0.72926,0.6791,2020
Kansas,KS,December,0.81018,12,0.9899,0.0692,2020
Kentucky,KY,January,0.90257,1,0.88963,0.22432,2020
Kentucky,KY,February,0.268,2,0.26644,0.85425,2020
Kentucky,KY,March,0.04095,3,0.78948,0.85047,2020
Kentucky,KY,April,0.10147,4,0.08181,0.9637,2020
Kentucky,KY,May,0.73263,5,0.83079,0.007,2020
Kentucky,KY,June,0.28287,6,0.95936,0.83992,2020
Kentucky,KY,July,0.37876,7,0.97009,0.06267,2020
Kentucky,KY,August,0.03184,8,0.97428,0.16972,2020
Kentucky,KY,September,0.79786,9,0.99429,0.25132,2020
Kentucky,KY,October,0.577,10,0.75136,0.92968,2020
Kentucky,KY,November,0.86262,11,0.18494,0.53888,2020
Kentucky,KY,December,0.69027,12,0.90738,0.952,2020
Louisiana,LA,January,0.21808,1,0.98647,0.56786,2020
Louisiana,LA,February,0.206,2,0.92968,0.31,2020
Louisiana,LA,March,0.56656,3,0.11564,0.00816,2020
Louisiana,LA,April,0.8341,4,0.98644,0.92298,2020
Louisiana,LA,May,0.74277,5,0.14206,0.08181,2020
Louisiana,LA,June,0.90001,6,0.98411,0.97858,2020
Louisiana,LA,July,0.02276,7,0.01845,0.9782,2020
Louisiana,LA,August,0.81926,8,0.69386,0.93883,2020
Louisiana,LA,September,0.08829,9,0.01498,0.16167,2020
Louisiana,LA,October,0.18494,10,0.97295,0.89549,2020
Louisiana,LA,November,0.00628,11,0.94799,0.99094,2020
Louisiana,LA,December,0.12721,12,0.94825,0.09263,2020
Maine,ME,January,0.80405,1,0.664,0.88963,2020
Maine,ME,February,0.58685,2,0.74948,0.03845,2020
Maine,ME,March,0.99236,3,0.683,0.81584,2020
Maine,ME,April,0.9637,4,0.37876,0.85936,2020
Maine,ME,May,0.97635,5,0.96475,0.2165,2020
Maine,ME,June,0.96584,6,0.9136,0.72926,2020
Maine,ME,July,0.99621,7,0.237,0.88455,2020
Maine,ME,August,0.47164,8,0.05829,0.73263,2020
Maine,ME,September,0.664,9,0.8341,0.59635,2020
Maine,ME,October,0.6791,10,0.91169,0.1431,2020
Maine,ME,November,0.9414,11,0.09703,0.10925,2020
Maine,ME,December,0.06624,12,0.14729,0.9505,2020
Maryland,MD,January,0.1408,1,0.04043,0.01776,2020
Maryland,MD,February,0.98528,2,0.0825,0.98246,2020
Maryland,MD,March,0.235,3,0.035,0.04661,2020
Maryland,MD,April,0.95069,4,0.94893,0.01613,2020
Maryland,MD,May,0.02081,5,0.04563,0.54456,2020
Maryland,MD,June,0.10716,6,0.01272,0.94753,2020
Maryland,MD,July,0.17708,7,0.425,0.03065,2020
Maryland,MD,August,0.9058,8,0.93929,0.87361,2020
Maryland,MD,September,0.94935,9,0.9505,0.2152,2020
Maryland,MD,October,0.98058,10,0.99094,0.22918,2020
Maryland,MD,November,0.91919,11,0.96824,0.9758,2020
Maryland,MD,December,0.94375,12,0.30684,0.14385,2020
Massachusetts,MA,January,0.96724,1,0.9136,0.135,2020
Massachusetts,MA,February,0.9466,2,0.957,0.11136,2020
Massachusetts,MA,March,0.05984,3,0.98845,0.019,2020
Massachusetts,MA,April,0.96098,4,0.22432,0.93428,2020
Massachusetts,MA,May,0.8122,5,0.83992,0.02101,2020
Massachusetts,MA,June,0.01728,6,0.12844,0.81322,2020
Massachusetts,MA,July,0.147,7,0.283,0.298,2020
Massachusetts,MA,August,0.022,8,0.01184,0.74948,2020
Massachusetts,MA,September,0.01272,9,0.228,0.066,2020
Massachusetts,MA,October,0.03978,10,0.76271,0.00941,2020
Massachusetts,MA,November,0.84736,11,0.93883,0.58198,2020
Massachusetts,MA,December,0.05084,12,0.84281,0.75943,2020
Michigan,MI,January,0.30684,1,0.00432,0.063,2020
Michigan,MI,February,0.00408,2,0.08443,0.93206,2020
Michigan,MI,March,0.85047,3,0.04431,0.68665,2020
Michigan,MI,April,0.24268,4,0.83424,0.96154,2020
Michigan,MI,May,0.04385,5,0.0724,0.05633,2020
Michigan,MI,June,0.1296,6,0.99284,0.81926,2020
Michigan,MI,July,0.98294,7,0.14575,0.00513,2020
Michigan,MI,August,0.02442,8,0.61504,0.12225,2020
Michigan,MI,September,0.13225,9,0.55564,0.08736,2020
Michigan,MI,October,0.921,10,0.06789,0.94469,2020
Michigan,MI,November,0.96224,11,0.002,0.95717,2020
Michigan,MI,December,0.09504,12,0.92969,0.10147,2020
Minnesota,MN,January,0.86494,1,0.16594,0.98598,2020
Minnesota,MN,February,0.90175,2,0.65272,0.99444,2020
Minnesota,MN,March,0.07821,3,0.25,0.04431,2020
Minnesota,MN,April,0.00202,4,0.98997,0.04385,2020
Minnesota,MN,May,0.03065,5,0.23064,0.17708,2020
Minnesota,MN,June,0.98644,6,0.25132,0.13848,2020
Minnesota,MN,July,0.928,7,0.86539,0.12844,2020
Minnesota,MN,August,0.06789,8,0.96098,0.83079,2020
Minnesota,MN,September,0.08549,9,0.02442,0.425,2020
Minnesota,MN,October,0.08736,10,0.05676,0.27148,2020
Minnesota,MN,November,0.78364,11,0.82821,0.921,2020
Minnesota,MN,December,0.11564,12,0.46232,0.018,2020
Mississippi,MS,January,0.74344,1,0.9346,0.01962,2020
Mississippi,MS,February,0.93929,2,0.93442,0.07703,2020
Mississippi,MS,March,0.04661,3,0.2094,0.64889,2020
Mississippi,MS,April,0.84419,4,0.9637,0.52664,2020
Mississippi,MS,May,0.00941,5,0.80712,0.93775,2020
Mississippi,MS,June,0.86219,6,0.85423,0.11143,2020
Mississippi,MS,July,0.98411,7,0.004,0.87156,2020
Mississippi,MS,August,0.76564,8,0.72516,0.90763,2020
Mississippi,MS,September,0.181,9,0.02813,0.93581,2020
Mississippi,MS,October,0.05376,10,0.79522,0.05084,2020
Mississippi,MS,November,0.97459,11,0.95971,0.03917,2020
Mississippi,MS,December,0.04113,12,0.04661,0.016,2020
Missouri,MO,January,0.97338,1,0.00725,0.93442,2020
Missouri,MO,February,0.07296,2,0.16972,0.86219,2020
Missouri,MO,March,0.88229,3,0.04941,0.116,2020
Missouri,MO,April,0.93619,4,0.02412,0.799,2020
Missouri,MO,May,0.00513,5,0.94753,0.01498,2020
Missouri,MO,June,0.099,6,0.71344,0.896,2020
Missouri,MO,July,0.13785,7,0.59635,0.93676,2020
Missouri,MO,August,0.1566,8,0.99914,0.05,2020
Missouri,MO,September,0.95971,9,0.66773,0.13107,2020
Missouri,MO,October,0.07644,10,0.9466,0.3143,2020
Missouri,MO,November,0.96475,11,0.87279,0.76924,2020
Missouri,MO,December,0.02938,12,0.04695,0.84736,2020
Montana,MT,January,0.89969,1,0.15159,0.58685,2020
Montana,MT,February,0.00832,2,0.92489,0.97459,2020
Montana,MT,March,0.91169,3,0.1246,0.98647,2020
Montana,MT,April,0.808,4,0.59163,0.002,2020
Montana,MT,May,0.966,5,0.57184,0.97338,2020
Montana,MT,June,0.07125,6,0.90379,0.98044,2020
Montana,MT,July,0.88455,7,0.96085,0.99429,2020
Montana,MT,August,0.01498,8,0.73939,0.735,2020
Montana,MT,September,0.79416,9,0.21052,0.97967,2020
Montana,MT,October,0.2214,10,0.98447,0.99668,2020
Montana,MT,November,0.99556,11,0.06624,0.90738,2020
Montana,MT,December,0.02688,12,0.53292,0.61956,2020
Nebraska,NE,January,0.87024,1,0.94375,0.02872,2020
Nebraska,NE,February,0.02321,2,0.66026,0.11943,2020
Nebraska,NE,March,0.204,3,0.98294,0.8911,2020
Nebraska,NE,April,0.75876,4,0.799,0.09701,2020
Nebraska,NE,May,0.10509,5,0.772,0.98176,2020
Nebraska,NE,June,0.18512,6,0.78845,0.93117,2020
Nebraska,NE,July,0.94519,7,0.22918,0.01728,2020
Nebraska,NE,August,0.75136,8,0.08843,0.1246,2020
Nebraska,NE,September,0.87526,9,0.91735,0.47164,2020
Nebraska,NE,October,0.0105,10,0.84248,0.94519,2020
Nebraska,NE,November,0.02813,11,0.006,0.78211,2020
Nebraska,NE,December,0.82726,12,0.03845,0.601,2020
Nevada,NV,January,0.9758,1,0.89838,0.05675,2020
Nevada,NV,February,0.1598,2,0.601,0.1534,2020
Nevada,NV,March,0.96971,3,0.93299,0.88,2020
Nevada,NV,April,0.90975,4,0.14956,0.02,2020
Nevada,NV,May,0.98875,5,0.88679,0.16059,2020
Nevada,NV,June,0.16628,6,0.97216,0.67527,2020
Nevada,NV,July,0.05229,7,0.49752,0.8122,2020
Nevada,NV,August,0.01385,8,0.02307,0.67148,2020
Nevada,NV,September,0.83763,9,0.06461,0.98447,2020
Nevada,NV,October,0.05829,10,0.17501,0.928,2020
Nevada,NV,November,0.06461,11,0.96336,0.08549,2020
Nevada,NV,December,0.93775,12,0.701,0.94612,2020
New Hampshire,NH,January,0.35436,1,0.50548,0.96797,2020
New Hampshire,NH,February,0.88,2,0.09701,0.73356,2020
New Hampshire,NH,March,0.85647,3,0.19408,0.82226,2020
New Hampshire,NH,April,0.9136,4,0.97635,0.928,2020
New Hampshire,NH,May,0.88679,5,0.67527,0.01385,2020
New Hampshire,NH,June,0.08925,6,0.82367,0.886,2020
New Hampshire,NH,July,0.1534,7,0.02276,0.86833,2020
New Hampshire,NH,August,0.82,8,0.9052,0.05229,2020
New Hampshire,NH,September,0.26092,9,0.13107,0.84855,2020
New Hampshire,NH,October,0.25132,10,0.06267,0.07821,2020
New Hampshire,NH,November,0.99668,11,0.83833,0.88679,2020
New Hampshire,NH,December,0.11136,12,0.07041,0.87901,2020
New Jersey,NJ,January,0.04248,1,0.86833,0.85794,2020
New Jersey,NJ,February,0.2152,2,0.61956,0.77082,2020
New Jersey,NJ,March,0.99779,3,0.78529,0.19517,2020
New Jersey,NJ,April,0.92279,4,0.84094,0.87089,2020
New Jersey,NJ,May,0.11781,5,0.18512,0.8514,2020
New Jersey,NJ,June,0.97216,6,0.92279,0.9052,2020
New Jersey,NJ,July,0.01962,7,0.97939,0.98182,2020
New Jersey,NJ,August,0.10925,8,0.89549,0.88229,2020
New Jersey,NJ,September,0.9346,9,0.80096,0.94598,2020
New Jersey,NJ,October,0.17332,10,0.02203,0.66026,2020
New Jersey,NJ,November,0.68196,11,0.85984,0.05968,2020
New Jersey,NJ,December,0.18948,12,0.03192,0.73939,2020
New Mexico,NM,January,0.04941,1,0.13502,0.09116,2020
New Mexico,NM,February,0.1246,2,0.99811,0.82,2020
New Mexico,NM,March,0.048,3,0.93206,0.30019,2020
New Mexico,NM,April,0.283,4,0.94325,0.00408,2020
New Mexico,NM,May,0.06141,5,0.11143,0.11229,2020
New Mexico,NM,June,0.9635,6,0.10643,0.10304,2020
New Mexico,NM,July,0.03321,7,0.15752,0.22272,2020
New Mexico,NM,August,0.77796,8,0.74344,0.16594,2020
New Mexico,NM,September,0.9782,9,0.181,0.87024,2020
New Mexico,NM,October,0.43079,10,0.02961,0.12721,2020
New Mexico,NM,November,0.00305,11,0.95459,0.204,2020
New Mexico,NM,December,0.735,12,0.01728,0.228,2020
New York,NY,January,0.82367,1,0.96584,0.99779,2020
New York,NY,February,0.0345,2,0.007,0.60576,2020
New York,NY,March,0.1502,3,0.02101,0.91938,2020
New York,NY,April,0.94229,4,0.11969,0.68196,2020
New York,NY,May,0.08,5,0.78904,0.0345,2020
New York,NY,June,0.72516,6,0.0864,0.11781,2020
New York,NY,July,0.16972,7,0.6267,0.04969,2020
New York,NY,August,0.91735,8,0.16628,0.08514,2020
New York,NY,September,0.02565,9,0.77796,0.10502,2020
New York,NY,October,0.228,10,0.82726,0.05676,2020
New York,NY,November,0.135,11,0.94179,0.9408,2020
New York,NY,December,0.952,12,0.91938,0.9466,2020
North Carolina,NC,January,0.89549,1,0.04394,0.92489,2020
North Carolina,NC,February,0.96848,2,0.1566,0.69386,2020
North Carolina,NC,March,0.83079,3,0.99218,0.70473,2020
North Carolina,NC,April,0.9876,4,0.02737,0.84281,2020
North Carolina,NC,May,0.03581,5,0.10925,0.957,2020
North Carolina,NC,June,0.95716,6,0.00832,0.02321,2020
North Carolina,NC,July,0.8162,7,0.83702,0.77728,2020
North Carolina,NC,August,0.09116,8,0.91919,0.06141,2020
North Carolina,NC,September,0.98176,9,0.77082,0.97219,2020
North Carolina,NC,October,0.89335,10,0.03075,0.79522,2020
North Carolina,NC,November,0.09701,11,0.928,0.90779,2020
North Carolina,NC,December,0.8535,12,0.74277,0.02813,2020
North Dakota,ND,January,0.03192,1,0.90511,0.95069,2020
North Dakota,ND,February,0.977,2,0.645,0.83702,2020
North Dakota,ND,March,0.10304,3,0.8976,0.83116,2020
North Dakota,ND,April,0.09309,4,0.928,0.06461,2020
North Dakota,ND,May,0.06956,5,0.04095,0.91014,2020
North Dakota,ND,June,0.19892,6,0.05315,0.00101,2020
North Dakota,ND,July,0.93135,7,0.61044,0.90379,2020
North Dakota,ND,August,0.71304,8,0.75943,0.135,2020
North Dakota,ND,September,0.14385,9,0.03917,0.89225,2020
North Dakota,ND,October,0.93299,10,0.73263,0.12705,2020
North Dakota,ND,November,0.10101,11,0.00101,0.05388,2020
North Dakota,ND,December,0.97094,12,0.10862,0.87632,2020
Ohio,OH,January,0.27148,1,0.98528,0.84094,2020
Ohio,OH,February,0.91549,2,0.11666,0.14956,2020
Ohio,OH,March,0.05676,3,0.116,0.683,2020
Ohio,OH,April,0.12,4,0.24268,0.05829,2020
Ohio,OH,May,0.89119,5,0.99621,0.93929,2020
Ohio,OH,June,0.11349,6,0.896,0.02307,2020
Ohio,OH,July,0.163,7,0.9058,0.043,2020
Ohio,OH,August,0.83424,8,0.94612,0.95936,2020
Ohio,OH,September,0.12705,9,0.9646,0.0756,2020
Ohio,OH,October,0.00618,10,0.82226,0.01,2020
Ohio,OH,November,0.01161,11,0.71304,0.89485,2020
Ohio,OH,December,0.19408,12,0.04385,0.02276,2020
Oklahoma,OK,January,0.84094,1,0.9635,0.77248,2020
Oklahoma,OK,February,0.97939,2,0.12721,0.72586,2020
Oklahoma,OK,March,0.95844,3,0.93909,0.43079,2020
Oklahoma,OK,April,0.00101,4,0.13901,0.1296,2020
Oklahoma,OK,May,0.90379,5,0.17032,0.99331,2020
Oklahoma,OK,June,0.8976,6,0.098,0.98875,2020
Oklahoma,OK,July,0.78904,7,0.56116,0.035,2020
Oklahoma,OK,August,0.90779,8,0.17482,0.76598,2020
Oklahoma,OK,September,0.03845,9,0.87089,0.19892,2020
Oklahoma,OK,October,0.01845,10,0.13785,0.61504,2020
Oklahoma,OK,November,0.95588,11,0.94519,0.96724,2020
Oklahoma,OK,December,0.85936,12,0.1653,0.14575,2020
Oregon,OR,January,0.799,1,0.92247,0.9899,2020
Oregon,OR,February,0.04522,2,0.87361,0.49752,2020
Oregon,OR,March,0.9408,3,0.12705,0.05376,2020
Oregon,OR,April,0.87279,4,0.96848,0.26127,2020
Oregon,OR,May,0.94799,5,0.82524,0.03191,2020
Oregon,OR,June,0.889,6,0.02081,0.772,2020
Oregon,OR,July,0.9989,7,0.17332,0.0864,2020
Oregon,OR,August,0.08364,8,0.97338,0.0788,2020
Oregon,OR,September,0.95459,9,0.10101,0.00628,2020
Oregon,OR,October,0.772,10,0.11349,0.18512,2020
Oregon,OR,November,0.87767,11,0.966,0.13225,2020
Oregon,OR,December,0.92455,12,0.00202,0.89744,2020
Pennsylvania,PA,January,0.86763,1,0.93581,0.05107,2020
Pennsylvania,PA,February,0.663,2,0.97967,0.96336,2020
Pennsylvania,PA,March,0.08181,3,0.8122,0.08443,2020
Pennsylvania,PA,April,0.12225,4,0.87632,0.90511,2020
Pennsylvania,PA,May,0.99104,5,0.89119,0.8976,2020
Pennsylvania,PA,June,0.99331,6,0.99779,0.99914,2020
Pennsylvania,PA,July,0.92629,7,0.02,0.237,2020
